AA	Similarity	RevSimilarity	NO3RevSimilarity	Min Common Movies	First Best Neighs	NN Predictions	NN Coverage	NN MAE Sum	NN MAE CF	FN Predictions	FN Coverage	FN MAE Sum	FN MAE CF	DenFN Predictions	DenFN Coverage	DenFN MAE Sum	DenRev MAE CF	Combined NN FN Predictions	NN FN Coverage	NN FN MAE Sum	NN FN MAE CF
1	0.0	0.0	0.0	0	150	6677	0.8288232373386296	2671.0	0.40002995357196347	6377	0.791583912611718	2747.0	0.4307668182530971	0	0.0	0.0	NaN	0	0.0	0.0	NaN
2	0.0	-0.2	-0.2	0	150	6677	0.8288232373386296	2671.0	0.40002995357196347	6004	0.7452830188679245	2544.0	0.42371752165223187	0	0.0	0.0	NaN	0	0.0	0.0	NaN
3	0.0	-0.4	-0.4	0	150	6677	0.8288232373386296	2671.0	0.40002995357196347	5675	0.7044438927507448	2428.0	0.42784140969163	0	0.0	0.0	NaN	0	0.0	0.0	NaN
4	0.2	0.0	0.0	0	150	6349	0.7881082423038729	2490.0	0.3921877461017483	6377	0.791583912611718	2747.0	0.4307668182530971	0	0.0	0.0	NaN	0	0.0	0.0	NaN
5	0.2	-0.2	-0.2	0	150	6349	0.7881082423038729	2490.0	0.3921877461017483	6004	0.7452830188679245	2544.0	0.42371752165223187	0	0.0	0.0	NaN	0	0.0	0.0	NaN
6	0.2	-0.4	-0.4	0	150	6349	0.7881082423038729	2490.0	0.3921877461017483	5675	0.7044438927507448	2428.0	0.42784140969163	0	0.0	0.0	NaN	0	0.0	0.0	NaN
7	0.4	0.0	0.0	0	150	6026	0.7480139026812314	2397.0	0.39777630268835046	6377	0.791583912611718	2747.0	0.4307668182530971	0	0.0	0.0	NaN	0	0.0	0.0	NaN
8	0.4	-0.2	-0.2	0	150	6026	0.7480139026812314	2397.0	0.39777630268835046	6004	0.7452830188679245	2544.0	0.42371752165223187	0	0.0	0.0	NaN	0	0.0	0.0	NaN
9	0.4	-0.4	-0.4	0	150	6026	0.7480139026812314	2397.0	0.39777630268835046	5675	0.7044438927507448	2428.0	0.42784140969163	0	0.0	0.0	NaN	0	0.0	0.0	NaN
10	0.6	0.0	0.0	0	150	5698	0.7072989076464746	2276.0	0.3994383994383994	6377	0.791583912611718	2747.0	0.4307668182530971	0	0.0	0.0	NaN	0	0.0	0.0	NaN
11	0.6	-0.2	-0.2	0	150	5698	0.7072989076464746	2276.0	0.3994383994383994	6004	0.7452830188679245	2544.0	0.42371752165223187	0	0.0	0.0	NaN	0	0.0	0.0	NaN
12	0.6	-0.4	-0.4	0	150	5698	0.7072989076464746	2276.0	0.3994383994383994	5675	0.7044438927507448	2428.0	0.42784140969163	0	0.0	0.0	NaN	0	0.0	0.0	NaN
